_id,date,center_name,attendance_count
37301885,2013-08-08,Magee Community Center,21
37301886,2013-08-08,Ormsby Community Center,32
37301887,2013-08-08,Paulson Community Center,47
37301888,2013-08-08,Phillips Community Center,84
37301889,2013-08-08,West Penn Community Center,102
37301890,2013-08-07,Warrington Community Center,7
37301891,2013-08-07,Arlington Community Center,35
37301892,2013-08-07,Ammon Community Center,16
37301893,2013-08-07,Brookline Community Center,161
37301894,2013-08-07,Jefferson Community Center,24
37301895,2013-08-07,Ormsby Community Center,17
37301896,2013-08-07,Magee Community Center,12
37301897,2013-08-07,Phillips Community Center,88
37301898,2013-08-07,Paulson Community Center,42
37301899,2013-08-07,West Penn Community Center,155
37301900,2013-08-06,Warrington Community Center,35
37301901,2013-08-06,Ammon Community Center,12
37301902,2013-08-06,Arlington Community Center,39
37301903,2013-08-06,Jefferson Community Center,32
37301904,2013-08-06,Brookline Community Center,347
37301905,2013-08-06,Magee Community Center,24
37301906,2013-08-06,Ormsby Community Center,44
37301907,2013-08-06,Paulson Community Center,38
37301908,2013-08-06,Phillips Community Center,137
37301909,2013-08-06,West Penn Community Center,39
37301910,2013-08-05,Warrington Community Center,28
37301911,2013-08-05,Arlington Community Center,32
37301912,2013-08-05,Ammon Community Center,12
37301913,2013-08-05,Brookline Community Center,200
37301914,2013-08-05,Jefferson Community Center,25
37301915,2013-08-05,Frazier Park,104
37301916,2013-08-05,Ormsby Community Center,25
37301917,2013-08-05,Magee Community Center,2
37301918,2013-08-05,Phillips Community Center,112
37301919,2013-08-05,Paulson Community Center,43
37301920,2013-08-05,West Penn Community Center,60
37301921,2013-08-03,Warrington Community Center,6
37301922,2013-08-03,Brookline Community Center,118
37301923,2013-08-03,Magee Community Center,5
37301924,2013-08-03,Ormsby Community Center,4
37301925,2013-08-03,Phillips Community Center,16
37301926,2013-08-03,West Penn Community Center,9
37301927,2013-08-02,Warrington Community Center,33
37301928,2013-08-02,Ammon Community Center,12
37301929,2013-08-02,Arlington Community Center,34
37301930,2013-08-02,Brookline Community Center,134
37301931,2013-08-02,Jefferson Community Center,27
37301932,2013-08-02,Ormsby Community Center,9
37301933,2013-08-02,Magee Community Center,4
37301934,2013-08-02,Phillips Community Center,99
37301935,2013-08-02,Paulson Community Center,33
37301936,2013-08-02,West Penn Community Center,81
37301937,2013-08-01,Warrington Community Center,50
37301938,2013-08-01,Arlington Community Center,22
37301939,2013-08-01,Ammon Community Center,60
37301940,2013-08-01,Jefferson Community Center,33
37301941,2013-08-01,Brookline Community Center,268
37301942,2013-08-01,Magee Community Center,3
37301943,2013-08-01,Ormsby Community Center,26
37301944,2013-08-01,Paulson Community Center,37
37301945,2013-08-01,Phillips Community Center,68
37301946,2013-08-01,West Penn Community Center,115
37301947,2013-07-31,Warrington Community Center,65
37301948,2013-07-31,Ammon Community Center,10
37301949,2013-07-31,Arlington Community Center,56
37301950,2013-07-31,Brookline Community Center,260
37301951,2013-07-31,Jefferson Community Center,26
37301952,2013-07-31,Ormsby Community Center,1
37301953,2013-07-31,Magee Community Center,7
37301954,2013-07-31,Phillips Community Center,98
37301955,2013-07-31,Paulson Community Center,48
37301956,2013-07-31,West Penn Community Center,51
37301957,2013-07-30,Warrington Community Center,40
37301958,2013-07-30,Arlington Community Center,50
37301959,2013-07-30,Ammon Community Center,8
37301960,2013-07-30,Jefferson Community Center,28
37301961,2013-07-30,Brookline Community Center,343
37301962,2013-07-30,Magee Community Center,4
37301963,2013-07-30,Ormsby Community Center,21
37301964,2013-07-30,Paulson Community Center,64
37301965,2013-07-30,Phillips Community Center,56
37301966,2013-07-30,West Penn Community Center,117
37301967,2013-07-29,Warrington Community Center,40
37301968,2013-07-29,Ammon Community Center,21
37301969,2013-07-29,Arlington Community Center,35
37301970,2013-07-29,Brookline Community Center,271
37301971,2013-07-29,Jefferson Community Center,22
37301972,2013-07-29,Ormsby Community Center,39
37301973,2013-07-29,Magee Community Center,13
37301974,2013-07-29,Phillips Community Center,132
37301975,2013-07-29,Paulson Community Center,32
37301976,2013-07-29,West Penn Community Center,112
37301977,2013-07-27,Warrington Community Center,9
37301978,2013-07-27,Brookline Community Center,112
37301979,2013-07-27,Ormsby Community Center,4
37301980,2013-07-27,Phillips Community Center,13
37301981,2013-07-27,West Penn Community Center,12
37301982,2013-07-26,Warrington Community Center,43
37301983,2013-07-26,Arlington Community Center,45
37301984,2013-07-26,Ammon Community Center,7
37301985,2013-07-26,Brookline Community Center,130
37301986,2013-07-26,Jefferson Community Center,19
37301987,2013-07-26,Ormsby Community Center,6
37301988,2013-07-26,Magee Community Center,18
37301989,2013-07-26,Phillips Community Center,69
37301990,2013-07-26,Paulson Community Center,10
37301991,2013-07-26,West Penn Community Center,152
37301992,2013-07-25,Warrington Community Center,28
37301993,2013-07-25,Ammon Community Center,6
37301994,2013-07-25,Arlington Community Center,33
37301995,2013-07-25,Jefferson Community Center,35
37301996,2013-07-25,Brookline Community Center,179
37301997,2013-07-25,Magee Community Center,2
37301998,2013-07-25,Ormsby Community Center,34
37301999,2013-07-25,Paulson Community Center,41
37302000,2013-07-25,Phillips Community Center,71
37302001,2013-07-25,West Penn Community Center,143
37302002,2013-07-24,Warrington Community Center,44
37302003,2013-07-24,Arlington Community Center,41
37302004,2013-07-24,Ammon Community Center,16
37302005,2013-07-24,Brookline Community Center,231
37302006,2013-07-24,Jefferson Community Center,29
37302007,2013-07-24,Ormsby Community Center,12
37302008,2013-07-24,Magee Community Center,4
37302009,2013-07-24,Phillips Community Center,86
37302010,2013-07-24,Paulson Community Center,36
37302011,2013-07-24,West Penn Community Center,80
37302012,2013-07-23,Warrington Community Center,55
37302013,2013-07-23,Ammon Community Center,15
37302014,2013-07-23,Arlington Community Center,31
37302015,2013-07-23,Jefferson Community Center,43
37302016,2013-07-23,Brookline Community Center,207
37302017,2013-07-23,Magee Community Center,16
37302018,2013-07-23,Ormsby Community Center,25
37302019,2013-07-23,Paulson Community Center,75
37302020,2013-07-23,Phillips Community Center,82
37302021,2013-07-23,West Penn Community Center,59
37302022,2013-07-22,Warrington Community Center,39
37302023,2013-07-22,Ammon Community Center,19
37302024,2013-07-22,Brookline Community Center,309
37302025,2013-07-22,Jefferson Community Center,30
37302026,2013-07-22,Ormsby Community Center,14
37302027,2013-07-22,Magee Community Center,8
37302028,2013-07-22,Phillips Community Center,67
37302029,2013-07-22,Paulson Community Center,58
37302030,2013-07-22,West Penn Community Center,55
37302031,2013-07-20,Warrington Community Center,12
37302032,2013-07-20,Brookline Community Center,143
37302033,2013-07-20,Magee Community Center,1
37302034,2013-07-20,Phillips Community Center,11
37302035,2013-07-20,West Penn Community Center,127
37302036,2013-07-19,Warrington Community Center,45
37302037,2013-07-19,Ammon Community Center,9
37302038,2013-07-19,Brookline Community Center,171
37302039,2013-07-19,Jefferson Community Center,40
37302040,2013-07-19,Magee Community Center,5
37302041,2013-07-19,Ormsby Community Center,9
37302042,2013-07-19,Phillips Community Center,52
37302043,2013-07-19,Paulson Community Center,38
37302044,2013-07-19,West Penn Community Center,97
37302045,2013-07-18,Warrington Community Center,104
37302046,2013-07-18,Ammon Community Center,10
37302047,2013-07-18,Jefferson Community Center,40
37302048,2013-07-18,Brookline Community Center,196
37302049,2013-07-18,Ormsby Community Center,34
37302050,2013-07-18,Magee Community Center,7
37302051,2013-07-18,Paulson Community Center,39
37302052,2013-07-18,Phillips Community Center,79
37302053,2013-07-18,West Penn Community Center,128
37302054,2013-07-17,Warrington Community Center,32
37302055,2013-07-17,Ammon Community Center,56
37302056,2013-07-17,Brookline Community Center,253
37302057,2013-07-17,Jefferson Community Center,42
37302058,2013-07-17,Magee Community Center,6
37302059,2013-07-17,Ormsby Community Center,9
37302060,2013-07-17,Phillips Community Center,98
37302061,2013-07-17,Paulson Community Center,59
37302062,2013-07-17,West Penn Community Center,130
37302063,2013-07-16,Warrington Community Center,44
37302064,2013-07-16,Ammon Community Center,31
37302065,2013-07-16,Arlington Community Center,19
37302066,2013-07-16,Jefferson Community Center,29
37302067,2013-07-16,Brookline Community Center,284
37302068,2013-07-16,Magee Community Center,8
37302069,2013-07-16,Paulson Community Center,37
37302070,2013-07-16,Phillips Community Center,81
37302071,2013-07-16,West Penn Community Center,123
37302072,2013-07-15,Warrington Community Center,65
37302073,2013-07-15,Ammon Community Center,16
37302074,2013-07-15,Brookline Community Center,212
37302075,2013-07-15,Jefferson Community Center,33
37302076,2013-07-15,Magee Community Center,3
37302077,2013-07-15,Ormsby Community Center,22
37302078,2013-07-15,Phillips Community Center,99
37302079,2013-07-15,Paulson Community Center,123
37302080,2013-07-15,West Penn Community Center,108
37302081,2013-07-13,Warrington Community Center,11
37302082,2013-07-13,Brookline Community Center,182
37302083,2013-07-13,Magee Community Center,2
37302084,2013-07-13,Phillips Community Center,19
37302085,2013-07-12,Warrington Community Center,11
37302086,2013-07-12,Ammon Community Center,10
37302087,2013-07-12,Arlington Community Center,18
37302088,2013-07-12,Brookline Community Center,112
37302089,2013-07-12,Jefferson Community Center,23
37302090,2013-07-12,Magee Community Center,7
37302091,2013-07-12,Ormsby Community Center,14
37302092,2013-07-12,Phillips Community Center,72
37302093,2013-07-12,Paulson Community Center,31
37302094,2013-07-12,West Penn Community Center,67
37302095,2013-07-11,Warrington Community Center,17
37302096,2013-07-11,Arlington Community Center,17
37302097,2013-07-11,Ammon Community Center,13
37302098,2013-07-11,Jefferson Community Center,50
37302099,2013-07-11,Brookline Community Center,208
37302100,2013-07-11,Ormsby Community Center,31
37302101,2013-07-11,Magee Community Center,7
37302102,2013-07-11,Paulson Community Center,75
37302103,2013-07-11,Phillips Community Center,59
37302104,2013-07-11,West Penn Community Center,94
37302105,2013-07-10,Ammon Community Center,16
37302106,2013-07-10,Brookline Community Center,130
37302107,2013-07-10,Jefferson Community Center,33
37302108,2013-07-10,Magee Community Center,8
37302109,2013-07-10,Ormsby Community Center,12
37302110,2013-07-10,Phillips Community Center,15
37302111,2013-07-10,West Penn Community Center,1
37302112,2013-07-09,Warrington Community Center,20
37302113,2013-07-09,Ammon Community Center,21
37302114,2013-07-09,Arlington Community Center,35
37302115,2013-07-09,Jefferson Community Center,21
37302116,2013-07-09,Brookline Community Center,323
37302117,2013-07-09,Ormsby Community Center,23
37302118,2013-07-09,Magee Community Center,15
37302119,2013-07-09,Phillips Community Center,76
37302120,2013-07-09,West Penn Community Center,52
37302121,2013-07-08,Warrington Community Center,31
37302122,2013-07-08,Arlington Community Center,14
37302123,2013-07-08,Ammon Community Center,12
37302124,2013-07-08,Brookline Community Center,252
37302125,2013-07-08,Jefferson Community Center,40
37302126,2013-07-08,Magee Community Center,7
37302127,2013-07-08,Ormsby Community Center,21
37302128,2013-07-08,Phillips Community Center,68
37302129,2013-07-08,West Penn Community Center,45
37302130,2013-07-06,Warrington Community Center,10
37302131,2013-07-06,Brookline Community Center,184
37302132,2013-07-06,Ormsby Community Center,14
37302133,2013-07-06,Phillips Community Center,40
37302134,2013-07-06,West Penn Community Center,13
37302135,2013-07-05,Warrington Community Center,12
37302136,2013-07-05,Ammon Community Center,10
37302137,2013-07-05,Arlington Community Center,23
37302138,2013-07-05,Brookline Community Center,176
37302139,2013-07-05,Jefferson Community Center,28
37302140,2013-07-05,Ormsby Community Center,17
37302141,2013-07-05,Magee Community Center,7
37302142,2013-07-05,Phillips Community Center,66
37302143,2013-07-05,Paulson Community Center,7
37302144,2013-07-05,West Penn Community Center,46
37302145,2013-07-03,Warrington Community Center,52
37302146,2013-07-03,Ammon Community Center,16
37302147,2013-07-03,Jefferson Community Center,10
37302148,2013-07-03,Brookline Community Center,273
37302149,2013-07-03,Magee Community Center,2
37302150,2013-07-03,Ormsby Community Center,19
37302151,2013-07-03,Paulson Community Center,43
37302152,2013-07-03,Phillips Community Center,153
37302153,2013-07-03,West Penn Community Center,50
37302154,2013-07-02,Warrington Community Center,63
37302155,2013-07-02,Ammon Community Center,25
37302156,2013-07-02,Brookline Community Center,265
37302157,2013-07-02,Jefferson Community Center,4
37302158,2013-07-02,Ormsby Community Center,35
37302159,2013-07-02,Magee Community Center,2
37302160,2013-07-02,Phillips Community Center,130
37302161,2013-07-02,Paulson Community Center,60
37302162,2013-07-02,West Penn Community Center,56
37302163,2013-07-01,Warrington Community Center,39
37302164,2013-07-01,Ammon Community Center,16
37302165,2013-07-01,Arlington Community Center,19
37302166,2013-07-01,Brookline Community Center,328
37302167,2013-07-01,Magee Community Center,8
37302168,2013-07-01,Ormsby Community Center,20
37302169,2013-07-01,Paulson Community Center,71
37302170,2013-07-01,Phillips Community Center,122
37302171,2013-07-01,West Penn Community Center,66
37302172,2013-06-29,Brookline Community Center,88
37302173,2013-06-29,Magee Community Center,2
37302174,2013-06-29,Phillips Community Center,38
37302175,2013-06-29,West Penn Community Center,184
37302176,2013-06-28,Warrington Community Center,21
37302177,2013-06-28,Arlington Community Center,26
37302178,2013-06-28,Ammon Community Center,23
37302179,2013-06-28,Brookline Community Center,195
37302180,2013-06-28,Ormsby Community Center,5
37302181,2013-06-28,Phillips Community Center,113
37302182,2013-06-28,Paulson Field,37
37302183,2013-06-28,West Penn Community Center,36
37302184,2013-06-27,Warrington Community Center,28
37302185,2013-06-27,Ammon Community Center,80
37302186,2013-06-27,Brookline Community Center,308
37302187,2013-06-27,Magee Community Center,8
37302188,2013-06-27,Phillips Community Center,120
37302189,2013-06-27,Paulson Community Center,77
37302190,2013-06-27,West Penn Community Center,131
37302191,2013-06-26,Warrington Community Center,35
37302192,2013-06-26,Arlington Community Center,30
37302193,2013-06-26,Brookline Community Center,253
37302194,2013-06-26,Magee Community Center,5
37302195,2013-06-26,Paulson Community Center,91
37302196,2013-06-26,Phillips Community Center,110
37302197,2013-06-26,West Penn Community Center,87
37302198,2013-06-25,Warrington Community Center,26
37302199,2013-06-25,Brookline Community Center,224
37302200,2013-06-25,Magee Community Center,62
37302201,2013-06-25,Ormsby Community Center,18
37302202,2013-06-25,Phillips Community Center,87
37302203,2013-06-25,Paulson Community Center,53
37302204,2013-06-25,West Penn Community Center,47
37302205,2013-06-24,Warrington Community Center,41
37302206,2013-06-24,Arlington Community Center,25
37302207,2013-06-24,Ammon Community Center,24
37302208,2013-06-24,Brookline Community Center,271
37302209,2013-06-24,Ormsby Community Center,21
37302210,2013-06-24,Magee Community Center,97
37302211,2013-06-24,Paulson Community Center,60
37302212,2013-06-24,Phillips Community Center,107
37302213,2013-06-24,West Penn Community Center,48
37302214,2013-06-22,Warrington Community Center,9
37302215,2013-06-22,Brookline Community Center,105
37302216,2013-06-22,Ormsby Community Center,7
37302217,2013-06-22,Phillips Community Center,30
37302218,2013-06-22,West Penn Community Center,13
37302219,2013-06-21,Warrington Community Center,24
37302220,2013-06-21,Ammon Community Center,36
37302221,2013-06-21,Arlington Community Center,31
37302222,2013-06-21,Brookline Community Center,125
37302223,2013-06-21,Magee Community Center,3
37302224,2013-06-21,Phillips Community Center,119
37302225,2013-06-21,Paulson Community Center,41
37302226,2013-06-21,West Penn Community Center,29
37302227,2013-06-20,Warrington Community Center,18
37302228,2013-06-20,Arlington Community Center,43
37302229,2013-06-20,Ammon Community Center,21
37302230,2013-06-20,Brookline Community Center,287
37302231,2013-06-20,Magee Community Center,32
37302232,2013-06-20,Ormsby Community Center,50
37302233,2013-06-20,Paulson Community Center,53
37302234,2013-06-20,Phillips Community Center,150
37302235,2013-06-20,West Penn Community Center,40
37302236,2013-06-19,Warrington Community Center,30
37302237,2013-06-19,Ammon Community Center,47
37302238,2013-06-19,Arlington Community Center,50
37302239,2013-06-19,Brookline Community Center,202
37302240,2013-06-19,Magee Community Center,7
37302241,2013-06-19,Phillips Community Center,91
37302242,2013-06-19,Paulson Community Center,28
37302243,2013-06-19,West Penn Community Center,103
37302244,2013-06-18,Warrington Community Center,68
37302245,2013-06-18,Arlington Community Center,64
37302246,2013-06-18,Ammon Community Center,33
37302247,2013-06-18,Brookline Community Center,264
37302248,2013-06-18,Magee Community Center,11
37302249,2013-06-18,Ormsby Community Center,52
37302250,2013-06-18,Paulson Community Center,77
37302251,2013-06-18,Phillips Community Center,116
37302252,2013-06-18,West Penn Community Center,85
37302253,2013-06-17,Warrington Community Center,36
37302254,2013-06-17,Ammon Community Center,20
37302255,2013-06-17,Arlington Community Center,55
37302256,2013-06-17,Brookline Community Center,308
37302257,2013-06-17,Ormsby Community Center,31
37302258,2013-06-17,Magee Community Center,9
37302259,2013-06-17,Phillips Community Center,90
37302260,2013-06-17,Paulson Community Center,23
37302261,2013-06-17,West Penn Community Center,73
37302262,2013-06-15,Warrington Community Center,7
37302263,2013-06-15,Brookline Community Center,175
37302264,2013-06-15,Ormsby Community Center,10
37302265,2013-06-15,Phillips Community Center,21
37302266,2013-06-15,West Penn Community Center,126
37302267,2013-06-14,Warrington Community Center,28
37302268,2013-06-14,Arlington Community Center,54
37302269,2013-06-14,Ammon Community Center,13
37302270,2013-06-14,Brookline Community Center,130
37302271,2013-06-14,Ormsby Community Center,14
37302272,2013-06-14,Magee Community Center,5
37302273,2013-06-14,Phillips Community Center,35
37302274,2013-06-14,Paulson Community Center,37
37302275,2013-06-14,West Penn Community Center,79
37302276,2013-06-13,Warrington Community Center,14
37302277,2013-06-13,Ammon Community Center,42
37302278,2013-06-13,Arlington Community Center,22
37302279,2013-06-13,Brookline Community Center,187
37302280,2013-06-13,Magee Community Center,6
37302281,2013-06-13,Ormsby Community Center,45
37302282,2013-06-13,Paulson Community Center,51
37302283,2013-06-13,Phillips Community Center,56
37302284,2013-06-13,West Penn Community Center,80
37302285,2013-06-12,Warrington Community Center,44
37302286,2013-06-12,Arlington Community Center,17
37302287,2013-06-12,Ammon Community Center,18
37302288,2013-06-12,Brookline Community Center,184
37302289,2013-06-12,Magee Community Center,14
37302290,2013-06-12,Phillips Community Center,57
37302291,2013-06-12,Paulson Community Center,45
37302292,2013-06-12,West Penn Community Center,94
37302293,2013-06-11,Warrington Community Center,33
37302294,2013-06-11,Ammon Community Center,34
37302295,2013-06-11,Arlington Community Center,168
37302296,2013-06-11,Brookline Community Center,205
37302297,2013-06-11,Jefferson Community Center,22
37302298,2013-06-11,Magee Community Center,10
37302299,2013-06-11,Ormsby Community Center,16
37302300,2013-06-11,Paulson Community Center,29
37302301,2013-06-11,Phillips Community Center,26
37302302,2013-06-11,West Penn Community Center,85
37302303,2013-06-10,Warrington Community Center,36
37302304,2013-06-10,Arlington Community Center,32
37302305,2013-06-10,Ammon Community Center,57
37302306,2013-06-10,Jefferson Community Center,26
37302307,2013-06-10,Brookline Community Center,228
37302308,2013-06-10,Magee Community Center,15
37302309,2013-06-10,Phillips Community Center,75
37302310,2013-06-10,Paulson Community Center,32
37302311,2013-06-10,West Penn Community Center,64
37302312,2013-06-08,Warrington Community Center,9
37302313,2013-06-08,Brookline Community Center,123
37302314,2013-06-08,Jefferson Community Center,7
37302315,2013-06-08,Magee Community Center,2
37302316,2013-06-08,Phillips Community Center,41
37302317,2013-06-08,West Penn Community Center,103
37302318,2013-06-07,Warrington Community Center,20
37302319,2013-06-07,Ammon Community Center,13
37302320,2013-06-07,Arlington Community Center,37
37302321,2013-06-07,Jefferson Community Center,20
37302322,2013-06-07,Brookline Community Center,192
37302323,2013-06-07,Magee Community Center,15
37302324,2013-06-07,Ormsby Community Center,19
37302325,2013-06-07,Phillips Community Center,59
37302326,2013-06-07,Paulson Community Center,34
37302327,2013-06-07,West Penn Community Center,74
37302328,2013-06-06,Warrington Community Center,39
37302329,2013-06-06,Arlington Community Center,136
37302330,2013-06-06,Ammon Community Center,24
37302331,2013-06-06,Brookline Community Center,71
37302332,2013-06-06,Jefferson Community Center,31
37302333,2013-06-06,Ormsby Community Center,23
37302334,2013-06-06,Magee Community Center,16
37302335,2013-06-06,Paulson Community Center,37
37302336,2013-06-06,Phillips Community Center,32
37302337,2013-06-06,West Penn Community Center,52
37302338,2013-06-05,Warrington Community Center,19
37302339,2013-06-05,Ammon Community Center,18
37302340,2013-06-05,Arlington Community Center,119
37302341,2013-06-05,Jefferson Community Center,26
37302342,2013-06-05,Brookline Community Center,181
37302343,2013-06-05,Ormsby Community Center,7
37302344,2013-06-05,Phillips Community Center,28
37302345,2013-06-05,Paulson Community Center,33
37302346,2013-06-05,West Penn Community Center,36
37302347,2013-06-04,Warrington Community Center,26
37302348,2013-06-04,Arlington Community Center,106
37302349,2013-06-04,Ammon Community Center,23
37302350,2013-06-04,Brookline Community Center,200
37302351,2013-06-04,Jefferson Community Center,32
37302352,2013-06-04,Ormsby Community Center,74
37302353,2013-06-04,Magee Community Center,31
37302354,2013-06-04,Paulson Community Center,25
37302355,2013-06-04,Phillips Community Center,69
37302356,2013-06-04,West Penn Community Center,70
37302357,2013-06-03,Warrington Community Center,34
37302358,2013-06-03,Ammon Community Center,27
37302359,2013-06-03,Arlington Community Center,43
37302360,2013-06-03,Jefferson Community Center,31
37302361,2013-06-03,Brookline Community Center,207
37302362,2013-06-03,Magee Community Center,13
37302363,2013-06-03,Ormsby Community Center,6
37302364,2013-06-03,Phillips Community Center,46
37302365,2013-06-03,Paulson Community Center,31
37302366,2013-06-03,West Penn Community Center,43
37302367,2013-06-01,Warrington Community Center,15
37302368,2013-06-01,Brookline Community Center,62
37302369,2013-06-01,Jefferson Community Center,7
37302370,2013-06-01,Phillips Community Center,28
37302371,2013-06-01,West Penn Community Center,159
37302372,2013-05-31,Warrington Community Center,17
37302373,2013-05-31,Jefferson Community Center,25
37302374,2013-05-31,Brookline Community Center,153
37302375,2013-05-31,Ormsby Community Center,1
37302376,2013-05-31,Magee Community Center,15
37302377,2013-05-31,Phillips Community Center,109
37302378,2013-05-31,Paulson Community Center,34
37302379,2013-05-31,West Penn Community Center,55
37302380,2013-05-30,Warrington Community Center,27
37302381,2013-05-30,Arlington Community Center,18
37302382,2013-05-30,Ammon Community Center,20
37302383,2013-05-30,Brookline Community Center,162
37302384,2013-05-30,Jefferson Community Center,29
37302385,2013-05-30,Ormsby Community Center,22
37302386,2013-05-30,Paulson Community Center,32
37302387,2013-05-30,Phillips Community Center,37
37302388,2013-05-30,West Penn Community Center,101
37302389,2013-05-29,Warrington Community Center,28
37302390,2013-05-29,Ammon Community Center,23
37302391,2013-05-29,Arlington Community Center,40
37302392,2013-05-29,Jefferson Community Center,34
37302393,2013-05-29,Brookline Community Center,165
37302394,2013-05-29,Ormsby Community Center,30
37302395,2013-05-29,Magee Community Center,16
37302396,2013-05-29,Phillips Community Center,59
37302397,2013-05-29,Paulson Community Center,51
37302398,2013-05-29,West Penn Community Center,81
37302399,2013-05-28,Warrington Community Center,54
37302400,2013-05-28,Arlington Community Center,52
37302401,2013-05-28,Ammon Community Center,94
37302402,2013-05-28,Brookline Community Center,219
37302403,2013-05-28,Jefferson Community Center,23
37302404,2013-05-28,Magee Community Center,24
37302405,2013-05-28,Ormsby Community Center,12
37302406,2013-05-28,Paulson Community Center,42
37302407,2013-05-28,Phillips Community Center,73
37302408,2013-05-28,West Penn Community Center,59
37302409,2013-05-25,Warrington Community Center,3
37302410,2013-05-25,Jefferson Community Center,9
37302411,2013-05-25,Brookline Community Center,52
37302412,2013-05-25,Ormsby Community Center,3
37302413,2013-05-25,Magee Community Center,2
37302414,2013-05-25,West Penn Community Center,19
37302415,2013-05-24,Warrington Community Center,19
37302416,2013-05-24,Ammon Community Center,32
37302417,2013-05-24,Arlington Community Center,18
37302418,2013-05-24,Brookline Community Center,92
37302419,2013-05-24,Jefferson Community Center,18
37302420,2013-05-24,Magee Community Center,12
37302421,2013-05-24,Ormsby Community Center,16
37302422,2013-05-24,Phillips Community Center,38
37302423,2013-05-24,Paulson Community Center,28
37302424,2013-05-24,West Penn Community Center,62
37302425,2013-05-23,Warrington Community Center,20
37302426,2013-05-23,Arlington Community Center,54
37302427,2013-05-23,Ammon Community Center,27
37302428,2013-05-23,Jefferson Community Center,30
37302429,2013-05-23,Brookline Community Center,100
37302430,2013-05-23,Ormsby Community Center,18
37302431,2013-05-23,Magee Community Center,30
37302432,2013-05-23,Paulson Community Center,37
37302433,2013-05-23,Phillips Community Center,33
37302434,2013-05-23,West Penn Community Center,134
37302435,2013-05-22,Warrington Community Center,36
37302436,2013-05-22,Ammon Community Center,27
37302437,2013-05-22,Arlington Community Center,35
37302438,2013-05-22,Brookline Community Center,205
37302439,2013-05-22,Jefferson Community Center,25
37302440,2013-05-22,Magee Community Center,20
37302441,2013-05-22,Ormsby Community Center,16
37302442,2013-05-22,Phillips Community Center,43
37302443,2013-05-22,Paulson Community Center,39
37302444,2013-05-22,West Penn Community Center,74
37302445,2013-05-21,Arlington Community Center,213
37302446,2013-05-21,Ammon Community Center,28
37302447,2013-05-21,Jefferson Community Center,14
37302448,2013-05-21,Brookline Community Center,108
37302449,2013-05-21,Ormsby Community Center,25
37302450,2013-05-21,Magee Community Center,15
37302451,2013-05-21,Phillips Community Center,33
37302452,2013-05-21,West Penn Community Center,51
37302453,2013-05-20,Warrington Community Center,27
37302454,2013-05-20,Ammon Community Center,30
37302455,2013-05-20,Arlington Community Center,57
37302456,2013-05-20,Brookline Community Center,307
37302457,2013-05-20,Jefferson Community Center,32
37302458,2013-05-20,Magee Community Center,14
37302459,2013-05-20,Ormsby Community Center,10
37302460,2013-05-20,Phillips Community Center,59
37302461,2013-05-20,Paulson Community Center,41
37302462,2013-05-20,West Penn Community Center,82
37302463,2013-05-19,Phillips Community Center,102
37302464,2013-05-18,Warrington Community Center,8
37302465,2013-05-18,Jefferson Community Center,9
37302466,2013-05-18,Brookline Community Center,101
37302467,2013-05-18,Ormsby Community Center,5
37302468,2013-05-18,Phillips Community Center,191
37302469,2013-05-18,West Penn Community Center,42
37302470,2013-05-17,Warrington Community Center,9
37302471,2013-05-17,Arlington Community Center,3
37302472,2013-05-17,Ammon Community Center,27
37302473,2013-05-17,Brookline Community Center,159
37302474,2013-05-17,Jefferson Community Center,35
37302475,2013-05-17,Ormsby Community Center,18
37302476,2013-05-17,Magee Community Center,9
37302477,2013-05-17,Phillips Community Center,16
37302478,2013-05-17,Paulson Community Center,42
37302479,2013-05-17,West Penn Community Center,66
37302480,2013-05-16,Warrington Community Center,25
37302481,2013-05-16,Ammon Community Center,2
37302482,2013-05-16,Arlington Community Center,11
37302483,2013-05-16,Jefferson Community Center,37
37302484,2013-05-16,Brookline Community Center,136
37302485,2013-05-16,Magee Community Center,13
37302486,2013-05-16,Ormsby Community Center,24
37302487,2013-05-16,Paulson Community Center,39
37302488,2013-05-16,Phillips Community Center,19
37302489,2013-05-16,West Penn Community Center,146
37302490,2013-05-15,Warrington Community Center,126
37302491,2013-05-15,Arlington Community Center,11
37302492,2013-05-15,Brookline Community Center,285
37302493,2013-05-15,Jefferson Community Center,26
37302494,2013-05-15,Ormsby Community Center,11
37302495,2013-05-15,Magee Community Center,6
37302496,2013-05-15,Phillips Community Center,26
37302497,2013-05-15,Paulson Community Center,54
37302498,2013-05-15,West Penn Community Center,25
37302499,2013-05-14,Warrington Community Center,52
37302500,2013-05-14,Arlington Community Center,7
37302501,2013-05-14,Jefferson Community Center,31
37302502,2013-05-14,Brookline Community Center,155
37302503,2013-05-14,Magee Community Center,20
37302504,2013-05-14,Ormsby Community Center,1
37302505,2013-05-14,Paulson Community Center,45
37302506,2013-05-14,Phillips Community Center,24
37302507,2013-05-14,West Penn Community Center,93
37302508,2013-05-13,Warrington Community Center,35
37302509,2013-05-13,Arlington Community Center,20
37302510,2013-05-13,Brookline Community Center,232
37302511,2013-05-13,Jefferson Community Center,18
37302512,2013-05-13,Ormsby Community Center,5
37302513,2013-05-13,Magee Community Center,20
37302514,2013-05-13,Phillips Community Center,40
37302515,2013-05-13,Paulson Community Center,55
37302516,2013-05-13,West Penn Community Center,114
37302517,2013-05-12,Brookline Community Center,8
